País;UF;Mês;Chegadas
África do Sul;Acre;Janeiro;0
África do Sul;Acre;Fevereiro;0
África do Sul;Acre;Março;0
África do Sul;Acre;Abril;0
África do Sul;Acre;Maio;0
África do Sul;Acre;Junho;0
África do Sul;Acre;Julho;0
África do Sul;Acre;Agosto;0
África do Sul;Acre;Setembro;0
África do Sul;Acre;Outubro;0
África do Sul;Acre;Novembro;0
África do Sul;Acre;Dezembro;0
Angola;Acre;Janeiro;0
Angola;Acre;Fevereiro;0
Angola;Acre;Março;0
Angola;Acre;Abril;0
Angola;Acre;Maio;0
Angola;Acre;Junho;0
Angola;Acre;Julho;0
Angola;Acre;Agosto;0
Angola;Acre;Setembro;0
Angola;Acre;Outubro;0
Angola;Acre;Novembro;0
Angola;Acre;Dezembro;0
Cabo Verde;Acre;Janeiro;0
Cabo Verde;Acre;Fevereiro;0
Cabo Verde;Acre;Março;0
Cabo Verde;Acre;Abril;0
Cabo Verde;Acre;Maio;0
Cabo Verde;Acre;Junho;0
Cabo Verde;Acre;Julho;0
Cabo Verde;Acre;Agosto;0
Cabo Verde;Acre;Setembro;0
Cabo Verde;Acre;Outubro;0
Cabo Verde;Acre;Novembro;0
Cabo Verde;Acre;Dezembro;0
Egito;Acre;Janeiro;0
Egito;Acre;Fevereiro;0
Egito;Acre;Março;0
Egito;Acre;Abril;0
Egito;Acre;Maio;0
Egito;Acre;Junho;0
Egito;Acre;Julho;0
Egito;Acre;Agosto;0
Egito;Acre;Setembro;0
Egito;Acre;Outubro;0
Egito;Acre;Novembro;0
Egito;Acre;Dezembro;0
Gana;Acre;Janeiro;0
Gana;Acre;Fevereiro;0
Gana;Acre;Março;0
Gana;Acre;Abril;0
Gana;Acre;Maio;0
Gana;Acre;Junho;0
Gana;Acre;Julho;0
Gana;Acre;Agosto;0
Gana;Acre;Setembro;0
Gana;Acre;Outubro;0
Gana;Acre;Novembro;0
Gana;Acre;Dezembro;0
Marrocos;Acre;Janeiro;0
Marrocos;Acre;Fevereiro;0
Marrocos;Acre;Março;0
Marrocos;Acre;Abril;0
Marrocos;Acre;Maio;0
Marrocos;Acre;Junho;0
Marrocos;Acre;Julho;0
Marrocos;Acre;Agosto;0
Marrocos;Acre;Setembro;0
Marrocos;Acre;Outubro;0
Marrocos;Acre;Novembro;0
Marrocos;Acre;Dezembro;0
Moçambique;Acre;Janeiro;0
Moçambique;Acre;Fevereiro;0
Moçambique;Acre;Março;0
Moçambique;Acre;Abril;0
Moçambique;Acre;Maio;0
Moçambique;Acre;Junho;0
Moçambique;Acre;Julho;0
Moçambique;Acre;Agosto;0
Moçambique;Acre;Setembro;0
Moçambique;Acre;Outubro;0
Moçambique;Acre;Novembro;0
Moçambique;Acre;Dezembro;0
Nigéria;Acre;Janeiro;0
Nigéria;Acre;Fevereiro;0
Nigéria;Acre;Março;0
Nigéria;Acre;Abril;0
Nigéria;Acre;Maio;0
Nigéria;Acre;Junho;0
Nigéria;Acre;Julho;0
Nigéria;Acre;Agosto;0
Nigéria;Acre;Setembro;0
Nigéria;Acre;Outubro;0
Nigéria;Acre;Novembro;0
Nigéria;Acre;Dezembro;0
Outros países;Acre;Janeiro;0
Outros países;Acre;Fevereiro;0
Outros países;Acre;Março;0
Outros países;Acre;Abril;0
Outros países;Acre;Maio;0
Outros países;Acre;Junho;0
Outros países;Acre;Julho;0
Outros países;Acre;Agosto;0
Outros países;Acre;Setembro;0
Outros países;Acre;Outubro;0
Outros países;Acre;Novembro;0
Outros países;Acre;Dezembro;0
Quênia;Acre;Janeiro;0
Quênia;Acre;Fevereiro;0
Quênia;Acre;Março;0
Quênia;Acre;Abril;0
Quênia;Acre;Maio;0
Quênia;Acre;Junho;0
Quênia;Acre;Julho;0
Quênia;Acre;Agosto;0
Quênia;Acre;Setembro;0
Quênia;Acre;Outubro;0
Quênia;Acre;Novembro;0
Quênia;Acre;Dezembro;0
Tunísia;Acre;Janeiro;0
Tunísia;Acre;Fevereiro;0
Tunísia;Acre;Março;0
Tunísia;Acre;Abril;0
Tunísia;Acre;Maio;0
Tunísia;Acre;Junho;0
Tunísia;Acre;Julho;0
Tunísia;Acre;Agosto;0
Tunísia;Acre;Setembro;0
Tunísia;Acre;Outubro;0
Tunísia;Acre;Novembro;0
Tunísia;Acre;Dezembro;0
Costa Rica;Acre;Janeiro;0
Costa Rica;Acre;Fevereiro;0
Costa Rica;Acre;Março;0
Costa Rica;Acre;Abril;0
Costa Rica;Acre;Maio;0
Costa Rica;Acre;Junho;0
Costa Rica;Acre;Julho;0
Costa Rica;Acre;Agosto;0
Costa Rica;Acre;Setembro;0
Costa Rica;Acre;Outubro;0
Costa Rica;Acre;Novembro;0
Costa Rica;Acre;Dezembro;0
Cuba;Acre;Janeiro;0
Cuba;Acre;Fevereiro;0
Cuba;Acre;Março;0
Cuba;Acre;Abril;0
Cuba;Acre;Maio;0
Cuba;Acre;Junho;0
Cuba;Acre;Julho;0
Cuba;Acre;Agosto;0
Cuba;Acre;Setembro;0
Cuba;Acre;Outubro;0
Cuba;Acre;Novembro;0
Cuba;Acre;Dezembro;0
El Salvador;Acre;Janeiro;0
El Salvador;Acre;Fevereiro;0
El Salvador;Acre;Março;0
El Salvador;Acre;Abril;0
El Salvador;Acre;Maio;0
El Salvador;Acre;Junho;0
El Salvador;Acre;Julho;0
El Salvador;Acre;Agosto;0
El Salvador;Acre;Setembro;0
El Salvador;Acre;Outubro;0
El Salvador;Acre;Novembro;0
El Salvador;Acre;Dezembro;0
Guatemala;Acre;Janeiro;0
Guatemala;Acre;Fevereiro;0
Guatemala;Acre;Março;0
Guatemala;Acre;Abril;0
Guatemala;Acre;Maio;0
Guatemala;Acre;Junho;0
Guatemala;Acre;Julho;0
Guatemala;Acre;Agosto;0
Guatemala;Acre;Setembro;0
Guatemala;Acre;Outubro;0
Guatemala;Acre;Novembro;0
Guatemala;Acre;Dezembro;0
Haiti;Acre;Janeiro;0
Haiti;Acre;Fevereiro;0
Haiti;Acre;Março;0
Haiti;Acre;Abril;0
Haiti;Acre;Maio;0
Haiti;Acre;Junho;0
Haiti;Acre;Julho;0
Haiti;Acre;Agosto;0
Haiti;Acre;Setembro;0
Haiti;Acre;Outubro;0
Haiti;Acre;Novembro;0
Haiti;Acre;Dezembro;0
Honduras;Acre;Janeiro;0
Honduras;Acre;Fevereiro;0
Honduras;Acre;Março;0
Honduras;Acre;Abril;0
Honduras;Acre;Maio;0
Honduras;Acre;Junho;0
Honduras;Acre;Julho;0
Honduras;Acre;Agosto;0
Honduras;Acre;Setembro;0
Honduras;Acre;Outubro;0
Honduras;Acre;Novembro;0
Honduras;Acre;Dezembro;0
Nicarágua;Acre;Janeiro;0
Nicarágua;Acre;Fevereiro;0
Nicarágua;Acre;Março;0
Nicarágua;Acre;Abril;0
Nicarágua;Acre;Maio;0
Nicarágua;Acre;Junho;0
Nicarágua;Acre;Julho;0
Nicarágua;Acre;Agosto;0
Nicarágua;Acre;Setembro;0
Nicarágua;Acre;Outubro;0
Nicarágua;Acre;Novembro;0
Nicarágua;Acre;Dezembro;0
Outros países;Acre;Janeiro;0
Outros países;Acre;Fevereiro;0
Outros países;Acre;Março;0
Outros países;Acre;Abril;0
Outros países;Acre;Maio;0
Outros países;Acre;Junho;0
Outros países;Acre;Julho;0
Outros países;Acre;Agosto;0
Outros países;Acre;Setembro;0
Outros países;Acre;Outubro;0
Outros países;Acre;Novembro;0
Outros países;Acre;Dezembro;0
Panamá;Acre;Janeiro;0
Panamá;Acre;Fevereiro;0
Panamá;Acre;Março;0
Panamá;Acre;Abril;0
Panamá;Acre;Maio;0
Panamá;Acre;Junho;0
Panamá;Acre;Julho;0
Panamá;Acre;Agosto;0
Panamá;Acre;Setembro;0
Panamá;Acre;Outubro;0
Panamá;Acre;Novembro;0
Panamá;Acre;Dezembro;0
República Dominicana;Acre;Janeiro;0
República Dominicana;Acre;Fevereiro;0
República Dominicana;Acre;Março;0
República Dominicana;Acre;Abril;0
República Dominicana;Acre;Maio;0
República Dominicana;Acre;Junho;0
República Dominicana;Acre;Julho;0
República Dominicana;Acre;Agosto;0
República Dominicana;Acre;Setembro;0
República Dominicana;Acre;Outubro;0
República Dominicana;Acre;Novembro;0
República Dominicana;Acre;Dezembro;0
Trinidad e Tobago;Acre;Janeiro;0
Trinidad e Tobago;Acre;Fevereiro;0
Trinidad e Tobago;Acre;Março;0
Trinidad e Tobago;Acre;Abril;0
Trinidad e Tobago;Acre;Maio;0
Trinidad e Tobago;Acre;Junho;0
Trinidad e Tobago;Acre;Julho;0
Trinidad e Tobago;Acre;Agosto;0
Trinidad e Tobago;Acre;Setembro;0
Trinidad e Tobago;Acre;Outubro;0
Trinidad e Tobago;Acre;Novembro;0
Trinidad e Tobago;Acre;Dezembro;0
Canadá;Acre;Janeiro;0
Canadá;Acre;Fevereiro;0
Canadá;Acre;Março;0
Canadá;Acre;Abril;0
Canadá;Acre;Maio;0
Canadá;Acre;Junho;0
Canadá;Acre;Julho;0
Canadá;Acre;Agosto;0
Canadá;Acre;Setembro;0
Canadá;Acre;Outubro;0
Canadá;Acre;Novembro;0
Canadá;Acre;Dezembro;0
Estados Unidos;Acre;Janeiro;0
Estados Unidos;Acre;Fevereiro;0
Estados Unidos;Acre;Março;0
Estados Unidos;Acre;Abril;0
Estados Unidos;Acre;Maio;0
Estados Unidos;Acre;Junho;0
Estados Unidos;Acre;Julho;0
Estados Unidos;Acre;Agosto;0
Estados Unidos;Acre;Setembro;0
Estados Unidos;Acre;Outubro;0
Estados Unidos;Acre;Novembro;0
Estados Unidos;Acre;Dezembro;0
México;Acre;Janeiro;0
México;Acre;Fevereiro;0
México;Acre;Março;0
México;Acre;Abril;0
México;Acre;Maio;0
México;Acre;Junho;0
México;Acre;Julho;0
México;Acre;Agosto;0
México;Acre;Setembro;0
México;Acre;Outubro;0
México;Acre;Novembro;0
México;Acre;Dezembro;0
Argentina;Acre;Janeiro;0
Argentina;Acre;Fevereiro;0
Argentina;Acre;Março;0
Argentina;Acre;Abril;0
Argentina;Acre;Maio;0
Argentina;Acre;Junho;0
Argentina;Acre;Julho;0
Argentina;Acre;Agosto;0
Argentina;Acre;Setembro;0
Argentina;Acre;Outubro;0
Argentina;Acre;Novembro;0
Argentina;Acre;Dezembro;0
Bolívia;Acre;Janeiro;0
Bolívia;Acre;Fevereiro;0
Bolívia;Acre;Março;0
Bolívia;Acre;Abril;0
Bolívia;Acre;Maio;0
Bolívia;Acre;Junho;0
